-1000738218,17.49,hidden object  ;twitter  ;facebook  ;hcg diet  ;shock g  ;,126
-10013473,0.0,,76
-1002032537,60.39,youtube videos  ;insurance  ;facebook  ;shock g  ;pay phone as  ;twitter  ;attorney  ;lawyer  ;,46
-1003012639,44.81,youtube videos  ;donate text to  ;twitter  ;facebook  ;donate  ;,31
-1003118207,0.0,,44
-1003229706,36.099999999999994,hidden object  ;5530 nokia  ;twitter  ;facebook  ;ipad  ;4 iphone  ;blackberry apps  ;,59
-1003532146,189.71999999999997,affiliate pay per click  ;mobile technology  ;facebook  ;cartridge ink and  ;toner cartridges and  ;ink printer for  ;cartridge ink for  ;canon cameras  ;notebook laptop and  ;event security management  ;camera security for  ;ink printer with  ;affiliate google  ;pixma canon  ;cameras digital  ;hosting  ;cartridges ink for  ;cartridges ink  ;twitter  ;cameras camera digital  ;notebook pc  ;notebook samsung  ;ink printer and  ;credit  ;,154
-100357665,1283.37,sim pay card buy go as you  ;loans  ;assurance term life  ;assurance compare life  ;sim pay uk go as you  ;olympics  ;sim card uk for  ;loan e  ;deal play no or  ;ipad  ;sim pay offers go as you  ;sim pay go as  ;sim dual  ;insurance  ;cameras digital  ;dominos pizza menu  ;electricity gas  ;phones best  ;sim pay card  ;sim cost card of  ;4 iphone  ;cheap insurance life  ;sim mobile card uk  ;sim pay best go as you  ;cheap medical insurance  ;term cost low insurance life  ;sim pay card best go as you  ;term insurance  ;facebook  ;clothing cheap for  ;spam anti exchange  ;cheap term insurance life  ;transfer  ;sim cheap pay go as you  ;phones prices and  ;phones t at and  ;domain yahoo  ;software  ;domain yahoo name  ;recovery  ;sim pay card go as you  ;shock g  ;pay phone as  ;twitter  ;mortgage  ;quote insurance life online  ;assurance cheap life  ;quote insurance life  ;sim deals pay card go as you  ;credit  ;,191
-1004060073,47.39,hidden object  ;twitter  ;insurance  ;facebook  ;wedding shoes  ;affiliate google  ;,110
-1004141500,35.9,twitter  ;facebook  ;hosting  ;wedding shoes  ;,42
-1006889272,179.41000000000003,kids cards games for  ;laptops best the  ;term insurance  ;mobile technology  ;facebook  ;deal play no or  ;laptops notebook  ;gift card buy  ;notebook laptop and  ;samsung led tv  ;phones t at and  ;camera security for  ;insurance  ;cameras digital  ;software  ;samsung led tv by  ;monitors lcd  ;lcd tv or  ;phones best  ;blu ray players  ;twitter  ;cameras camera digital  ;notebooks laptops and  ;notebook pc  ;samsung phones  ;notebook samsung  ;credit  ;,136
-1010088422,32.97,donate text to  ;donate  ;masterchef  ;,92
-1010155724,309.56000000000006,youtube videos  ;android app developer  ;mobile technology  ;mobile design development and  ;android apps development  ;attorney  ;android apps developer  ;android app google development  ;ipad  ;camera security for  ;phones best  ;android app development software  ;4 iphone  ;android developers application  ;android apps google development  ;facebook  ;android app development for  ;android developer application  ;transfer  ;developers applications mobile  ;gift card buy  ;android google application development  ;phones prices and  ;phones t at and  ;domain yahoo  ;developing mobile application  ;software  ;domain yahoo name  ;apps developers mobile  ;pay phone as  ;apps development  ;twitter  ;notebook pc  ;android app developers  ;android application tools development  ;credit  ;,243
-1010891626,106.43,mobile technology  ;facebook  ;photography stock uk  ;sim card uk for  ;gift card buy  ;phones t at and  ;affiliate google  ;software  ;dummies cloud computing for  ;phones best  ;hidden object  ;twitter  ;mortgage  ;dummies computing for  ;sim mobile card uk  ;,187
-1012631744,146.39000000000001,laptops best the  ;mobile technology  ;mobile design development and  ;degree  ;deal play no or  ;laptops notebook  ;ipad  ;notebook laptop and  ;samsung led tv  ;donate text to  ;classes  ;cameras digital  ;software  ;samsung led tv by  ;shock g  ;monitors lcd  ;treatment  ;lcd tv or  ;hdmi cable  ;hidden object  ;cameras camera digital  ;notebook pc  ;notebook samsung  ;4 iphone  ;donate  ;claim  ;,199
-1013291290,70.43,hidden object  ;twitter  ;insurance  ;facebook  ;attorney  ;lawyer  ;4 iphone  ;claim  ;,63
-1013630250,8.75,facebook  ;,37
-1015460636,2.16,hidden object  ;,32
-1019016342,84.94000000000001,kids cards games for  ;facebook  ;wedding shoes  ;mens watches for  ;pay phone as  ;dresses kids for  ;hidden object  ;twitter  ;gift card buy  ;credit  ;,89
-101956109,67.76,hidden object  ;twitter  ;facebook  ;software  ;tracking vehicle a  ;credit  ;,64
-102013386,150.03,quotes auto insurance  ;insurance  ;alicante spain rental car  ;alicante hire spain car  ;,203
-1020684147,208.46,cameras digital  ;software  ;equity home  ;photographers stock  ;cameras camera digital  ;photos stock  ;camera security for  ;,139
-102324864,192.19,affiliate pay per click  ;degree  ;transfer  ;lens canon with  ;deal play no or  ;gift card buy  ;canon cameras  ;affiliate google  ;5d canon  ;donate text to  ;cameras digital  ;software  ;lens canon  ;hidden object  ;cameras camera digital  ;donate  ;claim  ;nikon camera  ;,126
-1023618144,85.38,affiliate pay per click  ;affiliate google  ;,59
-1025768433,250.25000000000006,insurance  ;mobile technology  ;facebook  ;software  ;recovery  ;hidden object  ;twitter  ;quote insurance life online  ;tracking vehicle a  ;leasing employee  ;quote insurance life  ;credit  ;,87
-1026175231,700.75,domain yahoo  ;illness critical insurance life  ;insurance  ;term insurance  ;mortgage  ;quote insurance life online  ;assurance term life  ;domain yahoo name  ;assurance compare life  ;quote insurance life  ;,49
-1027572380,294.14,transfer  ;twitter  ;facebook  ;software  ;adsense google  ;adsense  ;,368
-1028233040,637.52,equity credit line of  ;loans  ;equity home  ;refinancing bad credit with  ;equity rates  ;loan e  ;equity loan home  ;insurance  ;refinance bad credit with  ;equity loan rates  ;consolidate loans  ;cheap insurance life  ;equity loans home  ;term insurance  ;facebook  ;refinance loans home  ;refinancing mortgage rates  ;cheap term insurance life  ;transfer  ;refinancing loans home  ;equity loans  ;consolidation loan  ;equity loan  ;twitter  ;equity rates home  ;mortgage  ;equity loan rates home  ;quote insurance life online  ;quote insurance life  ;credit  ;refinance mortgage bad credit  ;,365
