./pages/-1000738218,17.49,twitter  ;hidden object  ;facebook  ;hcg diet  ;shock g  ;,100
./pages/-10013473,0.0,,54
./pages/-1002032537,60.39,youtube videos  ;insurance  ;facebook  ;shock g  ;pay phone as  ;twitter  ;attorney  ;lawyer  ;,42
./pages/-1003012639,44.81,youtube videos  ;donate text to  ;twitter  ;facebook  ;donate  ;,24
./pages/-1003118207,0.0,,44
./pages/-1003229706,36.099999999999994,twitter  ;5530 nokia  ;hidden object  ;facebook  ;ipad  ;4 iphone  ;blackberry apps  ;,42
./pages/-1003532146,189.71999999999997,affiliate pay per click  ;facebook  ;mobile technology  ;cartridge ink and  ;toner cartridges and  ;ink printer for  ;cartridge ink for  ;canon cameras  ;notebook laptop and  ;event security management  ;camera security for  ;affiliate google  ;ink printer with  ;pixma canon  ;hosting  ;cameras digital  ;cartridges ink  ;cartridges ink for  ;twitter  ;cameras camera digital  ;notebook pc  ;notebook samsung  ;ink printer and  ;credit  ;,117
./pages/-100357665,1283.37,sim pay card buy go as you  ;loans  ;assurance term life  ;assurance compare life  ;olympics  ;sim pay uk go as you  ;sim card uk for  ;loan e  ;deal play no or  ;ipad  ;sim pay offers go as you  ;sim pay go as  ;sim dual  ;insurance  ;cameras digital  ;dominos pizza menu  ;electricity gas  ;phones best  ;sim pay card  ;sim cost card of  ;4 iphone  ;cheap insurance life  ;sim mobile card uk  ;sim pay best go as you  ;cheap medical insurance  ;term cost low insurance life  ;sim pay card best go as you  ;term insurance  ;facebook  ;clothing cheap for  ;spam anti exchange  ;cheap term insurance life  ;transfer  ;sim cheap pay go as you  ;phones prices and  ;phones t at and  ;domain yahoo  ;software  ;domain yahoo name  ;recovery  ;shock g  ;sim pay card go as you  ;pay phone as  ;twitter  ;mortgage  ;quote insurance life online  ;assurance cheap life  ;quote insurance life  ;credit  ;sim deals pay card go as you  ;,153
./pages/-1004060073,47.39,twitter  ;hidden object  ;insurance  ;facebook  ;wedding shoes  ;affiliate google  ;,93
./pages/-1004141500,35.9,twitter  ;facebook  ;hosting  ;wedding shoes  ;,28
./pages/-1006889272,179.41000000000003,kids cards games for  ;laptops best the  ;term insurance  ;facebook  ;mobile technology  ;deal play no or  ;laptops notebook  ;gift card buy  ;notebook laptop and  ;samsung led tv  ;phones t at and  ;camera security for  ;insurance  ;cameras digital  ;software  ;samsung led tv by  ;monitors lcd  ;phones best  ;lcd tv or  ;blu ray players  ;twitter  ;cameras camera digital  ;notebook pc  ;notebooks laptops and  ;samsung phones  ;notebook samsung  ;credit  ;,87
./pages/-1010088422,32.97,donate text to  ;donate  ;masterchef  ;,69
